micros	tikcs
5230960	0
5231376	0
5231832	0
5232292	0
5232748	0
5233204	0
5233652	0
5234108	0
5234568	0
5235020	0
5235472	0
5236012	0
5236948	0
5237884	0
5238816	0
5239752	-1
5240772	-1
5241792	-1
5242812	-1
5243832	-2
5244852	-2
5245872	-2
5246892	-2
5247912	-3
5248932	-3
5249952	-4
5250972	-4
5251992	-4
5253012	-5
5254032	-5
5255052	-6
5256072	-6
5257092	-6
5258112	-7
5259132	-7
5260152	-8
5261172	-8
5262192	-9
5263212	-10
5264316	-10
5265428	-11
5266528	-11
5267632	-12
5268736	-13
5269844	-13
5270948	-14
5272052	-15
5273156	-15
5274264	-16
5275368	-17
5276472	-17
5277576	-18
5278684	-19
5279788	-20
5280892	-20
5281996	-21
5283104	-22
5284208	-23
5285312	-24
5286416	-24
5287524	-25
5288628	-26
5289732	-27
5290836	-28
5291944	-28
5293048	-29
5294152	-30
5295256	-31
5296364	-32
5297468	-33
5298572	-33
5299676	-34
5300784	-35
5301888	-36
5302992	-37
5304100	-38
5305204	-39
5306308	-40
5307412	-41
5308516	-42
5309624	-42
5310728	-43
5311832	-44
5312936	-45
5314044	-46
5315148	-47
5316252	-48
5317356	-49
5318464	-50
5319568	-51
5320672	-52
5321776	-53
5322884	-54
5323988	-55
5325092	-56
5326200	-57
5327304	-58
5328408	-59
5329512	-59
5330616	-60
5331724	-61
5332828	-62
5333932	-63
5335040	-64
5336144	-65
5337248	-66
5338352	-67
5339456	-68
5340564	-69
5341668	-70
5342772	-71
5343876	-72
5344984	-73
5346088	-74
5347192	-75
5348296	-76
5349404	-77
5350508	-78
5351612	-79
5352716	-80
5353824	-81
5354928	-82
5356032	-83
5357136	-84
5358244	-85
5359348	-87
5360452	-88
5361556	-89
5362664	-90
5363768	-91
5364872	-92
5365976	-93
5367084	-94
5368188	-95
5369292	-96
5370396	-97
5371504	-98
5372608	-99
5373712	-100
5374904	-101
5376092	-102
5377284	-103
5378472	-104
5379664	-105
5380852	-107
5382044	-108
5383232	-109
5384424	-110
5385612	-111
5386804	-112
5387992	-113
5389184	-114
5390372	-116
5391564	-117
5392752	-118
5393944	-119
5395132	-120
5396324	-121
5397520	-122
5398704	-123
5399892	-125
5401084	-126
5402272	-127
5403464	-128
5404652	-129
5405844	-130
5407032	-131
5408224	-133
5409412	-134
5410604	-135
5411792	-136
5412984	-137
5414172	-138
5415364	-139
5416552	-141
5417744	-142
5418932	-143
5420124	-144
5421312	-145
5422504	-146
5423692	-147
5424884	-149
5426072	-150
5427264	-151
5428452	-152
5429644	-153
5430832	-154
5432024	-155
5433212	-157
5434404	-158
5435592	-159
5436784	-160
5437972	-161
5439164	-162
5440352	-163
5441548	-164
5442732	-166
5443924	-167
5445112	-168
5446304	-169
5447492	-170
5448684	-171
5449872	-172
5451064	-173
5452252	-175
5453444	-176
5454632	-177
5455824	-178
5457012	-179
5458204	-180
5459392	-181
5460584	-182
5461772	-183
5462964	-185
5464152	-186
5465344	-187
5466532	-188
5467724	-189
5468912	-190
5470104	-191
5471292	-192
5472484	-193
5473672	-194
5474864	-196
5476052	-197
5477244	-198
5478432	-199
5479624	-200
5480812	-201
5482004	-202
5483192	-203
