micros	tikcs
4612208	0
4612624	0
4613072	0
4613536	0
4613984	0
4614440	0
4614896	0
4615348	0
4615800	0
4616260	0
4616712	0
4617260	0
4618196	0
4619128	0
4620064	0
4621000	0
4621936	0
4622868	0
4623804	0
4624740	0
4625676	0
4626608	0
4627544	0
4628484	0
4629416	0
4630348	0
4631284	0
4632220	0
4633156	0
4634088	0
4635024	0
4635960	0
4636896	0
4637828	0
4638764	0
4639700	0
4640636	0
4641568	0
4642504	0
4643440	0
4644376	0
4645308	0
4646244	0
4647180	0
4648116	0
4649048	0
4649992	0
4650920	0
4651856	0
4652788	0
4653724	0
4654660	0
4655596	0
4656528	0
4657464	0
4658400	0
4659336	0
4660268	0
4661204	0
4662140	0
4663076	0
4664008	0
4664944	0
4665880	0
4666816	0
4667748	0
4668684	0
4669620	0
4670556	0
4671496	0
4672424	0
4673360	0
4674296	0
4675228	0
4676164	0
4677100	0
4678036	0
4678968	0
4679904	0
4680840	0
4681776	0
4682708	0
4683644	0
4684580	0
4685516	0
4686448	0
4687384	0
4688320	0
4689256	0
4690188	0
4691124	0
4692060	0
4693000	0
4693928	0
4694864	0
4695800	0
4696736	0
4697668	0
4698604	0
4699540	0
4700476	0
4701408	0
4702344	0
4703280	0
4704216	0
4705148	0
4706084	0
4707020	0
4707956	0
4708888	0
4709824	0
4710760	0
4711696	0
4712628	0
4713564	0
4714504	0
4715436	0
4716368	0
4717304	0
4718240	0
4719176	0
4720108	0
4721044	0
4721980	0
4722916	0
4723848	0
4724784	0
4725720	0
4726656	0
4727588	0
4728524	0
4729460	0
4730396	0
4731328	0
4732264	0
4733200	0
4734136	0
4735068	0
4736012	0
4736940	0
4737876	0
4738808	0
4739744	0
4740680	0
4741616	0
4742548	0
4743484	0
4744420	0
4745356	0
4746288	0
4747224	0
4748160	0
4749096	0
4750028	0
4750964	0
4751900	0
4752836	0
4753768	0
4754704	0
4755640	0
4756576	0
4757516	0
4758444	0
4759380	0
4760316	0
4761248	0
4762184	0
4763120	0
4764056	0
4764988	0
4765924	0
4766860	0
4767796	0
4768728	0
4769664	0
4770600	0
4771536	0
4772468	0
4773404	0
4774340	0
4775276	0
4776208	0
4777144	0
4778080	0
4779020	0
4779948	0
4780884	0
4781820	0
4782756	0
4783688	0
4784624	0
4785560	0
4786496	0
4787428	0
4788364	0
4789300	0
4790236	0
4791168	0
4792104	0
4793040	0
4793976	0
4794908	0
4795844	0
4796780	0
4797716	0
4798648	0
4799584	0
4800524	0
4801456	0
4802388	0
4803324	0
4804260	0
4805196	0
4806128	0
4807064	0
4808000	0
4808936	0
4809868	0
4810804	0
4811740	0
4812676	0
4813608	0
4814544	0
4815480	0
4816416	0
4817348	0
4818284	0
4819220	0
4820156	0
4821088	0
4822032	0
4822960	0
4823896	0
4824828	0
4825764	0
4826700	0
4827636	0
4828568	0
4829504	0
4830440	0
4831376	0
4832308	0
4833244	0
4834180	0
4835116	0
4836048	0
4836984	0
4837920	0
4838856	0
4839788	0
4840724	0
4841660	0
4842596	0
4843536	0
4844464	0
4845400	0
4846336	0
4847268	0
4848204	0
4849140	0
4850076	0
4851008	0
4851944	0
4852880	0
4853816	0
4854748	0
4855684	0
4856620	0
4857556	0
4858488	0
4859424	0
4860360	0
4861296	0
4862228	0
4863164	0
4864100	0
4865040	0
4865968	0
4866904	0
4867840	0
4868776	0
4869708	0
4870644	0
4871580	0
4872516	0
4873448	0
4874384	0
4875320	0
4876256	0
4877188	0
4878124	0
4879060	0
4879996	0
4880928	0
4881864	0
4882800	0
4883736	0
4884668	0
4885604	0
4886544	0
4887476	0
4888408	0
4889344	0
4890280	0
4891216	0
4892148	0
4893084	0
4894020	0
4894956	0
4895888	0
4896824	0
4897760	0
4898696	0
4899628	0
4900564	0
4901500	0
4902436	0
4903368	0
4904304	0
4905240	0
4906176	0
4907108	0
4908052	0
4908980	0
4909916	0
4910848	0
4911784	0
4912720	0
4913656	0
4914588	0
4915524	0
4916460	0
4917396	0
4918328	0
4919264	0
4920200	0
4921136	0
4922068	0
4923004	0
4923940	0
4924876	0
4925808	0
4926744	0
4927680	0
4928616	0
4929556	0
4930484	0
4931420	0
4932356	0
4933288	0
4934224	0
4935160	0
4936096	0
4937028	0
4937964	0
4938900	0
4939836	0
4940768	0
4941704	0
4942640	0
4943576	0
4944508	0
4945444	0
4946380	0
4947316	0
4948248	0
4949184	0
4950120	0
4951060	0
4951988	0
4952924	0
4953860	0
4954796	0
4955728	0
4956664	0
4957600	0
4958536	0
4959468	0
4960404	0
4961340	0
4962276	0
4963208	0
4964144	0
4965080	0
4966016	0
4966948	0
4967884	0
4968820	0
4969756	0
4970688	0
4971624	0
4972564	0
4973496	0
4974428	0
4975364	0
4976300	0
4977236	0
4978168	0
4979104	0
4980040	0
4980976	0
4981908	0
4982844	0
4983780	0
4984716	0
4985648	0
4986584	0
4987520	0
4988456	0
4989388	0
4990324	0
4991260	0
4992196	0
4993128	0
4994068	0
4995000	0
4995936	0
4996868	0
4997804	0
4998740	0
4999676	0
5000608	0
5001544	0
5002480	0
5003416	0
5004348	0
5005284	0
5006220	0
5007156	0
5008088	0
5009024	0
5009960	0
5010896	0
5011828	0
5012764	0
5013700	0
5014636	0
5015572	0
5016504	0
5017440	0
5018376	0
5019308	0
5020244	0
5021180	0
5022116	0
5023048	0
5023984	0
5024920	0
5025856	0
5026788	0
5027724	0
5028660	0
5029596	0
5030528	0
5031464	0
5032400	0
5033336	0
5034268	0
5035204	0
5036140	0
5037076	0
5038008	0
5038944	0
5039880	0
5040816	0
5041748	0
5042684	0
5043620	0
5044556	0
5045488	0
5046424	0
5047360	0
5048296	0
5049228	0
5050164	0
5051100	0
5052036	0
5052968	0
5053904	0
5054840	0
5055776	0
5056708	0
5057644	0
5058580	0
5059516	0
5060448	0
5061384	0
5062320	0
5063256	0
5064188	0
5065124	0
5066060	0
5066996	0
5067928	0
5068864	0
5069800	0
5070736	0
5071668	0
5072604	0
5073540	0
5074476	0
5075408	0
5076344	0
5077280	0
5078216	0
5079148	0
5080084	0
5081020	0
5081956	0
5082888	0
5083824	0
5084760	0
5085696	0
5086628	0
5087564	0
5088500	0
5089436	0
5090368	0
5091304	0
5092240	0
5093176	0
5094108	0
5095044	0
5095980	0
5096916	0
5097848	0
5098784	0
5099720	0
5100656	0
5101588	0
5102524	0
5103460	0
5104396	0
5105328	0
5106264	0
5107200	0
5108136	0
5109068	0
5110004	0
5110940	0
5111876	0
5112808	0
5113744	0
5114680	0
5115616	0
5116548	0
5117484	0
5118420	0
5119356	0
5120288	0
5121224	0
5122160	0
5123096	0
5124028	0
5124964	0
5125900	0
5126836	0
5127768	0
5128704	0
5129640	0
5130576	0
5131508	0
5132444	0
5133380	0
5134316	0
5135248	0
5136184	0
5137120	0
5138056	0
5138988	0
5139924	0
5140860	0
5141796	0
5142728	0
5143664	0
5144600	0
5145536	0
5146468	0
5147404	0
5148340	0
5149276	0
5150208	0
5151144	0
5152080	0
5153016	0
5153948	0
5154884	0
5155820	0
5156756	0
5157688	0
5158624	0
5159560	0
5160496	0
5161428	0
5162364	0
5163300	0
5164236	0
5165168	0
5166104	0
5167040	0
5167976	0
5168908	0
5169844	0
5170780	0
5171716	0
5172648	0
5173584	0
5174520	0
5175456	0
5176388	0
5177324	0
5178260	0
5179196	0
5180128	0
5181064	0
5182000	0
5182936	0
5183868	0
5184804	0
5185740	0
5186676	0
5187608	0
5188544	0
5189480	0
5190416	0
5191348	0
5192284	0
5193220	0
5194156	0
5195088	0
5196024	0
5196960	0
5197896	0
5198828	0
5199764	0
5200700	0
5201636	0
5202568	0
5203504	0
5204440	0
5205376	0
5206308	0
5207244	0
5208180	0
5209116	0
5210048	0
5210984	0
5211920	0
5212856	0
5213788	0
5214724	0
5215660	0
5216596	0
5217528	0
5218464	0
5219400	0
5220336	0
5221268	0
5222204	0
5223140	0
5224076	0
5225008	0
5225944	0
5226880	0
5227816	0
5228748	0
5229684	0
5230620	0
5231556	0
5232488	0
5233424	0
5234360	0
5235296	0
5236228	0
5237164	0
5238100	0
5239036	0
5239968	0
5240904	0
5241840	0
5242776	0
5243708	0
5244644	0
5245580	0
5246516	0
5247448	0
5248384	0
5249320	0
5250256	0
5251188	0
5252124	0
5253060	0
5253996	0
5254928	0
5255864	0
5256800	0
5257736	0
5258668	0
5259604	0
5260540	0
5261476	0
5262408	0
5263344	0
5264280	0
5265216	0
5266148	0
5267084	0
5268020	0
5268956	0
